timestamp,open,high,low,close,volume
2024-03-15 19:55:00,191.0700,191.2500,191.0700,191.2500,15
2024-03-15 19:50:00,191.1400,191.1400,191.1400,191.1400,13
2024-03-15 19:45:00,191.2000,191.2000,191.1200,191.1200,10
2024-03-15 19:40:00,191.1200,191.1200,191.1200,191.1200,6
2024-03-15 19:35:00,191.1200,191.1200,191.0700,191.0700,30
2024-03-15 19:25:00,191.2600,191.2600,191.2600,191.2600,1
2024-03-15 19:15:00,191.2800,191.2800,191.2800,191.2800,15
2024-03-15 19:00:00,191.0700,191.0700,191.0700,191.0700,4364931
2024-03-15 18:55:00,191.0700,191.2800,191.0700,191.2800,2
2024-03-15 18:50:00,191.2800,191.2800,191.2800,191.2800,7
2024-03-15 18:45:00,191.2100,191.2800,191.0810,191.2800,53
2024-03-15 18:40:00,191.0700,191.2800,191.0700,191.2700,52
2024-03-15 18:30:00,191.0700,191.2800,191.0700,191.2700,4364953
2024-03-15 18:25:00,191.2000,191.2000,191.2000,191.2000,5
2024-03-15 18:20:00,191.2800,191.2800,191.0700,191.0700,22
2024-03-15 18:10:00,191.2800,191.2800,191.2800,191.2800,3
2024-03-15 18:05:00,191.2800,191.2800,191.0700,191.0700,30
2024-03-15 17:55:00,191.2800,191.2800,191.2800,191.2800,1
2024-03-15 17:50:00,191.2800,191.2800,191.2800,191.2800,1
2024-03-15 17:45:00,191.0000,191.3000,191.0000,191.3000,771
2024-03-15 17:40:00,191.2500,191.3000,191.2500,191.3000,2
2024-03-15 17:30:00,191.0000,191.3000,191.0000,191.3000,118
2024-03-15 17:25:00,191.0100,191.0100,191.0100,191.0100,2
2024-03-15 17:20:00,191.3000,191.3000,191.0100,191.0100,8
2024-03-15 17:15:00,191.0100,191.3000,191.0000,191.3000,5
2024-03-15 17:05:00,191.2000,191.2000,191.0000,191.0000,500
2024-03-15 17:00:00,191.2000,191.2000,191.0700,191.0700,2289
2024-03-15 16:55:00,191.4000,191.4000,191.2900,191.3000,5
2024-03-15 16:45:00,191.9820,191.9820,191.9820,191.9820,30
2024-03-15 16:40:00,191.9700,191.9940,190.6000,190.6000,7
2024-03-15 16:30:00,191.2100,191.9700,191.2100,191.9700,5
2024-03-15 16:25:00,191.5400,191.5400,191.5400,191.5400,6
2024-03-15 16:20:00,191.0700,191.5000,190.6000,191.2100,126662
2024-03-15 16:15:00,191.0700,191.9700,190.6000,191.0680,15736
2024-03-15 16:10:00,191.0700,192.7300,191.0510,191.0700,4688804
2024-03-15 16:05:00,191.0700,191.7300,191.0700,191.0700,57268
2024-03-15 16:00:00,191.0900,191.8300,190.0100,191.0700,9270496
2024-03-15 15:55:00,190.7500,191.1000,190.7000,191.0900,291856
2024-03-15 15:50:00,191.1900,191.2000,190.7200,190.7500,135617
2024-03-15 15:45:00,191.1700,191.2400,191.1000,191.2100,50695
2024-03-15 15:40:00,191.1100,191.1900,191.0650,191.1900,35118
2024-03-15 15:35:00,191.2500,191.3400,191.0400,191.0910,43062
2024-03-15 15:30:00,191.2900,191.3490,191.2200,191.2600,44516
2024-03-15 15:25:00,191.4000,191.5700,191.2600,191.2850,41008
2024-03-15 15:20:00,191.4400,191.5500,191.3700,191.3900,26974
2024-03-15 15:15:00,191.4300,191.4900,191.3520,191.4600,29368
2024-03-15 15:10:00,191.2100,191.4200,191.1100,191.4200,35852
2024-03-15 15:05:00,191.2800,191.3000,191.1300,191.2100,29638
2024-03-15 15:00:00,191.3200,191.3200,191.1500,191.2900,36309
2024-03-15 14:55:00,191.3400,191.3800,191.2600,191.3300,29258
2024-03-15 14:50:00,191.2650,191.4150,191.2300,191.3750,31871
2024-03-15 14:45:00,191.2900,191.3300,191.2100,191.2500,37220
2024-03-15 14:40:00,191.1400,191.3600,191.1400,191.2810,28314
2024-03-15 14:35:00,190.9500,191.1300,190.8900,191.1300,23571
2024-03-15 14:30:00,191.0300,191.1850,190.8900,190.9400,44168
2024-03-15 14:25:00,191.1900,191.2900,190.9900,191.0400,65469
2024-03-15 14:20:00,191.0850,191.3550,191.0850,191.2000,31460
2024-03-15 14:15:00,191.0600,191.1300,190.9900,191.0850,39070
2024-03-15 14:10:00,191.2700,191.2900,191.0300,191.0600,40167
2024-03-15 14:05:00,191.3850,191.4160,191.3100,191.3600,20838
2024-03-15 14:00:00,191.2950,191.5200,191.2300,191.3850,36310
